"state","year","NDVI_mean","NDVI_median_min","NDVI_median_max","NDVI_stdDev","EVI_mean","EVI_median_min","EVI_median_max","EVI_stdDev","MVI_mean","MVI_median_min","MVI_median_max","MVI_stdDev","total_pixels","districts_analyzed","AGB_Mg_ha","BGB_Mg_ha","Total_Biomass_Mg_ha","Carbon_Stock_Density_MgC_ha"
"Karnataka",2008,0.420363759,0.433731293,0.529510113,0.185391062,0.201037402,0.181668076,0.254804607,0.107525459,8.02635139,2.479495412,5.475056283,20.63204442,35329,3,47.222113321,23.13883552729,70.36094884829,33.0696459586963
"Kerala",2008,0.515403637,0.494232174,0.643371602,0.140753988,0.261038082,0.22839104,0.327911193,0.107273862,14.126251,3.232301279,8.477834391,19.81025654,18054,9,65.852324461,32.26763898589,98.11996344689,46.1163828200383
"Maharashtra",2008,0.376570039,0.261600014,0.55282636,0.14235759,0.186108077,0.111344484,0.267508299,0.088368971,4.729720363,1.419211914,4.481840996,10.79529376,394599,7,42.5865579085,20.867413375165,63.453971283665,29.8233665033225
"Odisha",2008,0.519467325,0.377678386,0.634578005,0.147255689,0.321347048,0.186635338,0.404254287,0.109618147,6.336739585,3.441384852,6.473368885,17.71092227,242312,5,84.578258404,41.44334661796,126.02160502196,59.2301543603212
"Tamil Nadu",2008,0.491814792,0.259604432,0.652611973,0.185543525,0.295757445,0.137112091,0.365301979,0.130445627,9.802097164,2.20219138,29.7,23.80354689,43685,8,76.6326866725,37.550016469525,114.182703142025,53.6658704767517
"West Bengal",2008,0.595926335,0.369380695,0.660099762,0.11210727,0.335341131,0.217929,0.388682842,0.074685591,10.67002296,1.610132541,6.960153508,11.17307735,2449196,3,88.9234211755,43.572476375995,132.495897551495,62.2730718492026
"Andaman and Nicobar Islands",2008,0.733031181,0.364820942,0.785226797,0.28514127,0.420660895,0.246325642,0.45124856,0.142672461,11.18193864,2.868489936,7.037502722,18.98089271,654479,3,115.4152078975,56.553451869775,171.968659767275,80.8252700906192
"Dadra and Nagar Haveli and Daman and Diu",2008,0.18044782,0.165547768,0.510796975,0.107823507,0.081084712,0.072142214,0.246612369,0.066539544,13.62988683,2.7873585,4.250200098,8.333423036,8665,2,9.976803076,4.88863350724,14.86543658324,6.9867551941228
"Puducherry",2008,0.489441025,0.494124111,0.494124111,0.17237051,0.287650073,0.267270863,0.267270863,0.128338649,4.079323378,2.22928474,2.22928474,9.667500601,4190,1,74.1153476665,36.316520356585,110.431868023085,51.9029779708499
"Andhra Pradesh",2009,0.549635294,0.264417153,0.652402918,0.146936895,0.358157664,0.133992956,0.451195593,0.113056567,10.68153838,2.491882593,13.60131663,21.91454322,503653,5,96.007954672,47.04389778928,143.05185246128,67.2343706568016
