"","Index","state","year","Value","lower80","upper80","lower95","upper95"
"148","MVI","ANDHRA PRADESH",2028,16.11059197,7.54407398443538,24.6771099555646,3.00923329194614,29.2119506480539
"149","MVI","ANDHRA PRADESH",2029,16.11059197,6.218829040033,26.002354899967,0.982446050951532,31.2387378890485
"150","MVI","ANDHRA PRADESH",2030,16.11059197,5.05126480564064,27.1699191343594,-0.803189354264205,33.0243732942642
"151","MVI","GOA",2025,5.090030275,5.090030275,5.090030275,5.090030275,5.090030275
"152","MVI","GOA",2026,5.91349228913082,4.13375046809342,7.69323411016822,3.19161205832583,8.63537251993581
"153","MVI","GOA",2027,6.20070297305304,4.17151496367742,8.22989098242866,3.09732771827221,9.30407822783386
"154","MVI","GOA",2028,6.20070297305304,4.17151496367742,8.22989098242866,3.09732771827221,9.30407822783386
"155","MVI","GOA",2029,6.20070297305304,4.17151496367742,8.22989098242866,3.09732771827221,9.30407822783386
"156","MVI","GOA",2030,6.20070297305304,4.17151496367742,8.22989098242866,3.09732771827221,9.30407822783386
"157","MVI","GUJARAT",2025,6.206264502,6.206264502,6.206264502,6.206264502,6.206264502
"158","MVI","GUJARAT",2026,6.206264502,3.37433745262326,9.03819155137674,1.87520582839563,10.5373231756044
"159","MVI","GUJARAT",2027,6.206264502,2.20131486112019,10.2112141428798,0.081222586355076,12.3313064176449
"160","MVI","GUJARAT",2028,6.206264502,1.30122296915086,11.1113060348491,-1.29534917124463,13.7078781752446
"161","MVI","GUJARAT",2029,6.206264502,0.542410403246514,11.8701186007535,-2.45585284520873,14.8683818492087
"162","MVI","GUJARAT",2030,6.206264502,-0.126116887726802,12.5386458917268,-3.47827710671944,15.8908061107194
"163","MVI","KARNATAKA",2025,10.64077108,10.64077108,10.64077108,10.64077108,10.64077108
"164","MVI","KARNATAKA",2026,10.64077108,8.20182193569202,13.079720224308,6.91072024826695,14.370821911733
"165","MVI","KARNATAKA",2027,10.64077108,7.1915761221814,14.0899660378186,5.36568260542208,15.9158595545779
"166","MVI","KARNATAKA",2028,10.64077108,6.41638724498194,14.8651549150181,4.18013352462382,17.1014086353762
"167","MVI","KARNATAKA",2029,10.64077108,5.76287279138404,15.518669368616,3.18066941653391,18.1008727434661
"168","MVI","KARNATAKA",2030,10.64077108,5.18711499966241,16.0944271603376,2.30012386071528,18.9814182992847
"169","MVI","KERALA",2025,10.38031895,10.38031895,10.38031895,10.38031895,10.38031895
"170","MVI","KERALA",2026,9.52906416283711,7.6333177202367,11.4248106054375,6.6297701732599,12.4283581524143
